Molecule|Datafile|Disp2 (CCD)|Disp20|Disp21|Disp22 (S) (CCD)|Disp22 (SDQ)|Disp22 (T)|Disp22 (T) (CCD)|Dispersion|Electrostatics|Elst10,r|Elst12,r|Est. Disp22 (T)|Exch-Disp20|Exch-Ind20,r|Exch-Ind22|Exch10|Exch10(S^2)|Exch11(S^2)|Exch12(S^2)|Exchange|Ind20,r|Induction|InteractionEnergy|delta HF,r (2)|delta MP2,r (2)
water#fluoride|0749|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-11.062|-5.266|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|36.799|N/A|-16.722|3.749|N/A|N/A
water#fluoride|0750|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-8.864|-1.143|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|25.708|N/A|-14.342|1.358|N/A|N/A
water#fluoride|0751|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-7.100|1.460|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|18.008|N/A|-12.370|-0.00281162|N/A|N/A
water#fluoride|0752|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-5.477|3.222|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|11.928|N/A|-10.476|-0.803299|N/A|N/A
water#fluoride|0753|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-4.387|4.014|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|8.406|N/A|-9.130|-1.097|N/A|N/A
water#fluoride|0754|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-3.514|4.374|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|5.941|N/A|-7.985|-1.185|N/A|N/A
water#fluoride|0755|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-2.819|4.452|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|4.211|N/A|-7.007|-1.164|N/A|N/A
water#fluoride|0756|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-2.265|4.350|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|2.994|N/A|-6.167|-1.088|N/A|N/A
water#fluoride|0757|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-1.823|4.140|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|2.136|N/A|-5.443|-0.990151|N/A|N/A
water#fluoride|0758|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-1.422|3.823|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|1.445|N/A|-4.721|-0.874427|N/A|N/A
water#fluoride|0759|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-1.153|3.526|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|1.038|N/A|-4.191|-0.780289|N/A|N/A
